"Product","Brand","Variant","Size_liter","Pack","Market","Period","Value_1000_EUR","Volume_1000_liter","Price_per_liter","Dis_weight","Dis_num","Promo_value_1000_EUR","Non_promo_value_1000_EUR","Promo_volume_1000_liter","Non_promo_volume_1000_liter"
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2023-03-27,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2023-04-24,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2023-05-22,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2023-06-19,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2023-07-17,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2023-08-14,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2023-09-11,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2023-10-09,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2023-11-06,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2023-12-04,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2024-01-01,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2024-01-29,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2024-02-26,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2024-03-25,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2024-04-22,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2024-05-20,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2024-06-17,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2024-07-15,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2022-08-15,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2022-09-12,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2022-10-10,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2022-11-07,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2022-12-05,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2023-01-02,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2023-01-30,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2023-02-27,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2023-03-27,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2023-04-24,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2023-05-22,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2023-06-19,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2023-07-17,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2023-08-14,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2023-09-11,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2023-10-09,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2023-11-06,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2023-12-04,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2024-01-01,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2024-01-29,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2024-02-26,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2024-03-25,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2024-04-22,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2024-05-20,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2024-06-17,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer A",2024-07-15,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2022-08-15,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2022-09-12,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2022-10-10,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2022-11-07,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2022-12-05,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2023-01-02,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2023-01-30,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2023-02-27,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2023-03-27,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2023-04-24,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2023-05-22,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2023-06-19,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2023-07-17,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2023-08-14,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2023-09-11,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Retailer B",2023-10-09,0,0,0,0,0,0,0,0,0
